V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
58362 2014 3 2 10237 10253 10211 72 105 45 68 67 45 0 32766 22 32 46 2 89 4 61 
58362 2014 3 3 10245 10264 10229 85 121 54 77 70 48 0 32766 25 36 70 5 112 4 91 
58362 2014 3 4 10214 10234 10194 93 106 87 97 83 71 25 32766 12 24 39 6 68 5 0 
58362 2014 3 5 10268 10279 10229 77 98 59 69 66 41 0 32766 27 36 52 3 110 2 76 
58362 2014 3 6 10288 10299 10252 62 81 54 57 60 50 0 32766 26 25 50 4 78 4 0 
58362 2014 3 7 10308 10326 10287 69 98 43 57 58 25 0 32766 18 26 50 4 84 5 55 
58362 2014 3 8 10255 10302 10228 74 85 65 64 62 50 0 32766 23 29 46 4 86 6 0 
58362 2014 3 9 10260 10270 10248 71 132 16 66 70 26 0 32766 17 9 36 2 70 15 93 
58362 2014 3 10 10278 10294 10263 84 130 41 87 80 61 0 32766 17 24 46 4 68 6 60 
58362 2014 3 11 10232 10282 10190 113 158 71 85 65 46 0 32766 27 42 66 9 109 9 91 
58362 2014 3 12 10141 10197 10101 129 153 94 133 89 65 121 32766 10 37 58 8 112 2 0 
58362 2014 3 13 10218 10239 10156 73 102 52 57 57 34 86 32766 42 40 73 15 127 16 78 
58362 2014 3 14 10239 10255 10224 93 154 34 57 50 27 0 32766 24 21 49 14 85 14 98 
58362 2014 3 15 10213 10237 10186 130 200 48 66 47 21 0 32766 34 25 56 11 86 9 82 
58362 2014 3 16 10197 10224 10179 158 233 68 97 57 24 0 32766 30 31 58 8 97 8 103 
58362 2014 3 17 10152 10189 10127 186 245 149 139 67 44 32700 32766 21 26 55 12 89 12 70 
58362 2014 3 18 10161 10175 10141 162 239 117 137 75 53 0 32766 25 25 57 4 90 1 73 
58362 2014 3 19 10154 10179 10125 103 117 96 104 83 73 14 32766 27 30 62 4 102 3 0 
58362 2014 3 20 10231 10263 10170 97 121 87 68 57 33 32700 32766 36 48 64 16 116 1 4 
58362 2014 3 21 10266 10284 10250 96 138 46 54 47 27 0 32766 41 25 53 16 109 16 101 
58362 2014 3 22 10252 10268 10233 114 175 30 51 41 20 0 32766 42 31 50 9 83 10 103 
58362 2014 3 23 10256 10274 10235 130 192 86 90 61 33 0 32766 41 37 54 9 92 8 96 
58362 2014 3 24 10194 10248 10156 168 223 125 126 67 44 0 32766 26 30 49 9 84 8 94 
58362 2014 3 25 10128 10172 10095 175 208 153 167 84 66 90 32766 23 20 41 9 69 9 9 
58362 2014 3 26 10135 10159 10099 163 186 143 152 82 65 0 32766 21 26 66 14 115 15 24 
58362 2014 3 27 10168 10191 10152 141 200 108 132 83 57 0 32766 32 32 56 4 89 6 99 
58362 2014 3 28 10119 10170 10081 157 193 119 156 86 81 11 32766 21 33 59 9 104 8 0 
